Test Report,,,,,
,,,,,
>>Start Time: 02/09/24 12:37:43       End Time: 04/04/24 15:37:43,,,,,
>>Sampling rate: 3600sec,,,,,
>>Data number: 1324,,,,,
>>Temp HIGH alarm: 40 C   Temp LOW alarm: 0 C,,,,,
>>RH HIGH alarm: 97 %RH   RH LOW alarm: 30 %RH,,,,,
>>Temp MAX: 33.4 C @03/11/24 19:37:43  Temp MIN: 24.4 C @02/09/24 12:37:43  Temp AVG: 28.27 C,,,,,
>>RH MAX: 76.8 %RH @03/25/24 17:37:43  RH MIN: 36.6 %RH @03/26/24 18:37:43  RH AVG: 59.80 %RH,,,,,
----------------------------------------------------------------------------------------------------,,,,,
NO,Temp,,RH,,TIME
1,24.4 C,,55.8 %RH,,02/09/24 12:37:43
2,25.7 C,,50.7 %RH,,02/09/24 13:37:43
3,26.3 C,,50.6 %RH,,02/09/24 14:37:43
4,27.0 C,,51.6 %RH,,02/09/24 15:37:43
5,26.6 C,,50.7 %RH,,02/09/24 16:37:43
6,26.1 C,,52.7 %RH,,02/09/24 17:37:43
7,26.1 C,,51.0 %RH,,02/09/24 18:37:43
8,27.1 C,,51.5 %RH,,02/09/24 19:37:43
9,27.3 C,,51.3 %RH,,02/09/24 20:37:43
10,26.6 C,,52.3 %RH,,02/09/24 21:37:43
11,26.3 C,,52.8 %RH,,02/09/24 22:37:43
12,25.9 C,,53.5 %RH,,02/09/24 23:37:43
13,25.7 C,,53.8 %RH,,02/10/24 0:37:43
14,25.6 C,,54.5 %RH,,02/10/24 1:37:43
15,25.6 C,,55.1 %RH,,02/10/24 2:37:43
16,25.4 C,,55.8 %RH,,02/10/24 3:37:43
17,25.4 C,,56.5 %RH,,02/10/24 4:37:43
18,25.4 C,,57.0 %RH,,02/10/24 5:37:43
19,25.4 C,,57.5 %RH,,02/10/24 6:37:43
20,25.5 C,,58.5 %RH,,02/10/24 7:37:43
21,25.7 C,,57.2 %RH,,02/10/24 8:37:43
22,25.7 C,,56.5 %RH,,02/10/24 9:37:43
23,25.9 C,,57.3 %RH,,02/10/24 10:37:43
24,26.8 C,,55.4 %RH,,02/10/24 11:37:43
25,26.5 C,,58.3 %RH,,02/10/24 12:37:43
26,27.1 C,,58.5 %RH,,02/10/24 13:37:43
27,27.6 C,,56.2 %RH,,02/10/24 14:37:43
28,27.6 C,,58.9 %RH,,02/10/24 15:37:43
29,27.5 C,,60.4 %RH,,02/10/24 16:37:43
30,27.6 C,,61.1 %RH,,02/10/24 17:37:43
31,27.4 C,,57.1 %RH,,02/10/24 18:37:43
32,27.1 C,,58.5 %RH,,02/10/24 19:37:43
33,27.2 C,,59.3 %RH,,02/10/24 20:37:43
34,26.9 C,,59.6 %RH,,02/10/24 21:37:43
35,27.4 C,,58.9 %RH,,02/10/24 22:37:43
36,27.2 C,,60.4 %RH,,02/10/24 23:37:43
37,26.8 C,,57.7 %RH,,02/11/24 0:37:43
38,25.6 C,,59.4 %RH,,02/11/24 1:37:43
39,25.2 C,,60.6 %RH,,02/11/24 2:37:43
40,25.1 C,,65.7 %RH,,02/11/24 3:37:43
41,25.0 C,,66.4 %RH,,02/11/24 4:37:43
42,25.3 C,,64.3 %RH,,02/11/24 5:37:43
43,25.6 C,,62.2 %RH,,02/11/24 6:37:43
44,25.5 C,,62.6 %RH,,02/11/24 7:37:43
45,25.6 C,,64.1 %RH,,02/11/24 8:37:43
46,25.6 C,,62.6 %RH,,02/11/24 9:37:43
47,26.1 C,,60.0 %RH,,02/11/24 10:37:43
48,26.5 C,,58.0 %RH,,02/11/24 11:37:43
49,27.0 C,,54.7 %RH,,02/11/24 12:37:43
50,27.4 C,,53.6 %RH,,02/11/24 13:37:43
51,28.1 C,,52.8 %RH,,02/11/24 14:37:43
52,28.8 C,,50.3 %RH,,02/11/24 15:37:43
53,29.4 C,,46.1 %RH,,02/11/24 16:37:43
54,29.5 C,,47.7 %RH,,02/11/24 17:37:43
55,29.1 C,,57.0 %RH,,02/11/24 18:37:43
56,28.9 C,,59.4 %RH,,02/11/24 19:37:43
57,28.5 C,,54.5 %RH,,02/11/24 20:37:43
58,28.3 C,,56.6 %RH,,02/11/24 21:37:43
59,28.1 C,,56.8 %RH,,02/11/24 22:37:43
60,28.4 C,,58.2 %RH,,02/11/24 23:37:43
61,26.7 C,,57.0 %RH,,02/12/24 0:37:43
62,25.9 C,,58.9 %RH,,02/12/24 1:37:43
63,25.7 C,,62.1 %RH,,02/12/24 2:37:43
64,25.7 C,,63.3 %RH,,02/12/24 3:37:43
65,25.4 C,,66.9 %RH,,02/12/24 4:37:43
66,25.9 C,,65.0 %RH,,02/12/24 5:37:43
67,26.2 C,,64.4 %RH,,02/12/24 6:37:43
68,26.3 C,,65.5 %RH,,02/12/24 7:37:43
69,26.2 C,,66.4 %RH,,02/12/24 8:37:43
70,26.5 C,,66.9 %RH,,02/12/24 9:37:43
71,27.0 C,,68.3 %RH,,02/12/24 10:37:43
72,27.4 C,,65.8 %RH,,02/12/24 11:37:43
73,27.8 C,,63.0 %RH,,02/12/24 12:37:43
74,28.3 C,,65.4 %RH,,02/12/24 13:37:43
75,28.9 C,,65.3 %RH,,02/12/24 14:37:43
76,29.2 C,,62.2 %RH,,02/12/24 15:37:43
77,29.5 C,,63.8 %RH,,02/12/24 16:37:43
78,29.6 C,,63.2 %RH,,02/12/24 17:37:43
79,29.2 C,,65.3 %RH,,02/12/24 18:37:43
80,29.0 C,,67.7 %RH,,02/12/24 19:37:43
81,29.0 C,,68.0 %RH,,02/12/24 20:37:43
82,28.9 C,,68.8 %RH,,02/12/24 21:37:43
83,28.6 C,,67.3 %RH,,02/12/24 22:37:43
84,27.9 C,,56.4 %RH,,02/12/24 23:37:43
85,27.6 C,,58.7 %RH,,02/13/24 00:37:43
86,27.5 C,,60.7 %RH,,02/13/24 01:37:43
87,27.3 C,,53.2 %RH,,02/13/24 02:37:43
88,26.4 C,,54.2 %RH,,02/13/24 03:37:43
89,26.2 C,,52.9 %RH,,02/13/24 04:37:43
90,26.9 C,,59.6 %RH,,02/13/24 05:37:43
91,27.3 C,,67.1 %RH,,02/13/24 06:37:43
92,27.0 C,,70.0 %RH,,02/13/24 07:37:43
93,27.1 C,,70.2 %RH,,02/13/24 08:37:43
94,27.5 C,,71.7 %RH,,02/13/24 09:37:43
95,27.6 C,,71.5 %RH,,02/13/24 10:37:43
96,28.0 C,,69.6 %RH,,02/13/24 11:37:43
97,28.4 C,,68.5 %RH,,02/13/24 12:37:43
98,28.7 C,,67.4 %RH,,02/13/24 13:37:43
99,28.8 C,,67.2 %RH,,02/13/24 14:37:43
100,29.2 C,,65.8 %RH,,02/13/24 15:37:43
101,29.4 C,,63.5 %RH,,02/13/24 16:37:43
102,29.4 C,,62.9 %RH,,02/13/24 17:37:43
103,29.3 C,,64.2 %RH,,02/13/24 18:37:43
104,29.0 C,,67.0 %RH,,02/13/24 19:37:43
105,29.0 C,,67.0 %RH,,02/13/24 20:37:43
106,29.1 C,,67.4 %RH,,02/13/24 21:37:43
107,29.3 C,,66.7 %RH,,02/13/24 22:37:43
108,29.1 C,,66.6 %RH,,02/13/24 23:37:43
109,26.9 C,,50.8 %RH,,02/14/24 00:37:43
110,26.1 C,,50.3 %RH,,02/14/24 01:37:43
111,26.1 C,,55.0 %RH,,02/14/24 02:37:43
112,26.2 C,,55.4 %RH,,02/14/24 03:37:43
113,26.1 C,,53.7 %RH,,02/14/24 04:37:43
114,26.9 C,,59.6 %RH,,02/14/24 05:37:43
115,26.9 C,,65.0 %RH,,02/14/24 06:37:43
116,27.3 C,,69.4 %RH,,02/14/24 07:37:43
117,27.3 C,,67.1 %RH,,02/14/24 08:37:43
118,27.6 C,,70.6 %RH,,02/14/24 09:37:43
119,27.7 C,,69.9 %RH,,02/14/24 10:37:43
120,27.9 C,,66.8 %RH,,02/14/24 11:37:43
121,28.1 C,,64.2 %RH,,02/14/24 12:37:43
122,28.4 C,,62.0 %RH,,02/14/24 13:37:43
123,28.7 C,,59.6 %RH,,02/14/24 14:37:43
124,29.0 C,,59.1 %RH,,02/14/24 15:37:43
125,29.4 C,,60.3 %RH,,02/14/24 16:37:43
126,29.7 C,,59.4 %RH,,02/14/24 17:37:43
127,29.8 C,,60.6 %RH,,02/14/24 18:37:43
128,29.7 C,,63.4 %RH,,02/14/24 19:37:43
129,29.6 C,,66.9 %RH,,02/14/24 20:37:43
130,29.5 C,,67.6 %RH,,02/14/24 21:37:43
131,29.5 C,,65.7 %RH,,02/14/24 22:37:43
132,27.2 C,,48.1 %RH,,02/14/24 23:37:43
133,26.4 C,,50.3 %RH,,02/15/24 00:37:43
134,25.9 C,,50.5 %RH,,02/15/24 01:37:43
135,26.0 C,,52.1 %RH,,02/15/24 02:37:43
136,26.0 C,,53.5 %RH,,02/15/24 03:37:43
137,26.1 C,,54.4 %RH,,02/15/24 04:37:43
138,26.7 C,,60.4 %RH,,02/15/24 05:37:43
139,27.1 C,,64.3 %RH,,02/15/24 06:37:43
140,27.3 C,,68.8 %RH,,02/15/24 07:37:43
141,26.9 C,,72.9 %RH,,02/15/24 08:37:43
142,27.1 C,,70.9 %RH,,02/15/24 09:37:43
143,27.7 C,,67.0 %RH,,02/15/24 10:37:43
144,28.4 C,,60.8 %RH,,02/15/24 11:37:43
145,29.0 C,,57.1 %RH,,02/15/24 12:37:43
146,29.4 C,,55.2 %RH,,02/15/24 13:37:43
147,29.9 C,,57.3 %RH,,02/15/24 14:37:43
148,30.7 C,,54.4 %RH,,02/15/24 15:37:43
149,31.7 C,,50.6 %RH,,02/15/24 16:37:43
150,31.8 C,,51.7 %RH,,02/15/24 17:37:43
151,31.2 C,,56.1 %RH,,02/15/24 18:37:43
152,30.8 C,,61.5 %RH,,02/15/24 19:37:43
153,30.9 C,,61.3 %RH,,02/15/24 20:37:43
154,29.4 C,,40.1 %RH,,02/15/24 21:37:43
155,28.4 C,,46.0 %RH,,02/15/24 22:37:43
156,28.1 C,,46.7 %RH,,02/15/24 23:37:43
157,27.9 C,,46.3 %RH,,02/16/24 00:37:43
158,27.6 C,,47.6 %RH,,02/16/24 01:37:43
159,27.4 C,,47.3 %RH,,02/16/24 02:37:43
160,27.7 C,,49.9 %RH,,02/16/24 03:37:43
161,27.5 C,,48.2 %RH,,02/16/24 04:37:43
162,28.3 C,,53.3 %RH,,02/16/24 05:37:43
163,28.5 C,,56.5 %RH,,02/16/24 06:37:43
164,28.6 C,,58.5 %RH,,02/16/24 07:37:43
165,28.6 C,,59.7 %RH,,02/16/24 08:37:43
166,28.6 C,,61.9 %RH,,02/16/24 09:37:43
167,28.8 C,,60.3 %RH,,02/16/24 10:37:43
168,29.3 C,,56.8 %RH,,02/16/24 11:37:43
169,30.0 C,,52.9 %RH,,02/16/24 12:37:43
170,29.7 C,,50.6 %RH,,02/16/24 13:37:43
171,30.1 C,,56.2 %RH,,02/16/24 14:37:43
172,30.4 C,,54.9 %RH,,02/16/24 15:37:43
173,30.6 C,,53.2 %RH,,02/16/24 16:37:43
174,30.6 C,,56.9 %RH,,02/16/24 17:37:43
175,30.2 C,,63.8 %RH,,02/16/24 18:37:43
176,30.3 C,,64.5 %RH,,02/16/24 19:37:43
177,29.9 C,,64.9 %RH,,02/16/24 20:37:43
178,29.7 C,,68.4 %RH,,02/16/24 21:37:43
179,28.9 C,,69.0 %RH,,02/16/24 22:37:43
180,28.7 C,,69.4 %RH,,02/16/24 23:37:43
181,28.2 C,,49.3 %RH,,02/17/24 00:37:43
182,27.4 C,,49.8 %RH,,02/17/24 01:37:43
183,26.8 C,,49.9 %RH,,02/17/24 02:37:43
184,26.7 C,,52.4 %RH,,02/17/24 03:37:43
185,26.6 C,,52.7 %RH,,02/17/24 04:37:43
186,27.2 C,,57.6 %RH,,02/17/24 05:37:43
187,27.6 C,,63.8 %RH,,02/17/24 06:37:43
188,27.7 C,,66.4 %RH,,02/17/24 07:37:43
189,27.6 C,,66.9 %RH,,02/17/24 08:37:43
190,27.7 C,,68.5 %RH,,02/17/24 09:37:43
191,28.0 C,,74.1 %RH,,02/17/24 10:37:43
192,27.9 C,,70.0 %RH,,02/17/24 11:37:43
193,28.4 C,,71.4 %RH,,02/17/24 12:37:43
194,28.7 C,,68.4 %RH,,02/17/24 13:37:43
195,29.0 C,,69.1 %RH,,02/17/24 14:37:43
196,29.2 C,,68.1 %RH,,02/17/24 15:37:43
197,29.3 C,,68.5 %RH,,02/17/24 16:37:43
198,29.7 C,,66.3 %RH,,02/17/24 17:37:43
199,29.4 C,,66.7 %RH,,02/17/24 18:37:43
200,28.9 C,,69.8 %RH,,02/17/24 19:37:43
201,28.6 C,,70.5 %RH,,02/17/24 20:37:43
202,28.9 C,,71.0 %RH,,02/17/24 21:37:43
203,28.8 C,,70.8 %RH,,02/17/24 22:37:43
204,28.7 C,,70.6 %RH,,02/17/24 23:37:43
205,28.7 C,,71.0 %RH,,02/18/24 00:37:43
206,28.4 C,,72.2 %RH,,02/18/24 01:37:43
207,28.2 C,,72.7 %RH,,02/18/24 02:37:43
208,28.2 C,,72.4 %RH,,02/18/24 03:37:43
209,28.0 C,,73.2 %RH,,02/18/24 04:37:43
210,28.1 C,,72.8 %RH,,02/18/24 05:37:43
211,27.7 C,,72.8 %RH,,02/18/24 06:37:43
212,27.5 C,,72.2 %RH,,02/18/24 07:37:43
213,27.3 C,,73.6 %RH,,02/18/24 08:37:43
214,27.3 C,,75.6 %RH,,02/18/24 09:37:43
215,27.9 C,,74.2 %RH,,02/18/24 10:37:43
216,28.8 C,,66.8 %RH,,02/18/24 11:37:43
217,28.9 C,,65.7 %RH,,02/18/24 12:37:43
218,29.0 C,,67.5 %RH,,02/18/24 13:37:43
219,29.6 C,,64.6 %RH,,02/18/24 14:37:43
220,29.7 C,,62.5 %RH,,02/18/24 15:37:43
221,29.8 C,,61.7 %RH,,02/18/24 16:37:43
222,29.6 C,,63.3 %RH,,02/18/24 17:37:43
223,29.2 C,,63.5 %RH,,02/18/24 18:37:43
224,29.3 C,,67.0 %RH,,02/18/24 19:37:43
225,29.2 C,,52.6 %RH,,02/18/24 20:37:43
226,27.0 C,,48.5 %RH,,02/18/24 21:37:43
227,26.7 C,,56.1 %RH,,02/18/24 22:37:43
228,26.2 C,,50.3 %RH,,02/18/24 23:37:43
229,26.0 C,,52.6 %RH,,02/19/24 00:37:43
230,25.8 C,,53.3 %RH,,02/19/24 01:37:43
231,26.0 C,,57.2 %RH,,02/19/24 02:37:43
232,26.0 C,,54.7 %RH,,02/19/24 03:37:43
233,26.0 C,,58.6 %RH,,02/19/24 04:37:43
234,26.6 C,,60.1 %RH,,02/19/24 05:37:43
235,27.1 C,,64.8 %RH,,02/19/24 06:37:43
236,27.1 C,,71.7 %RH,,02/19/24 07:37:43
237,26.7 C,,74.3 %RH,,02/19/24 08:37:43
238,27.0 C,,75.1 %RH,,02/19/24 09:37:43
239,27.2 C,,71.8 %RH,,02/19/24 10:37:43
240,28.1 C,,62.0 %RH,,02/19/24 11:37:43
241,28.7 C,,61.6 %RH,,02/19/24 12:37:43
242,29.1 C,,56.6 %RH,,02/19/24 13:37:43
243,29.4 C,,56.8 %RH,,02/19/24 14:37:43
244,29.6 C,,56.3 %RH,,02/19/24 15:37:43
245,29.8 C,,58.9 %RH,,02/19/24 16:37:43
246,29.8 C,,61.0 %RH,,02/19/24 17:37:43
247,29.5 C,,63.2 %RH,,02/19/24 18:37:43
248,29.1 C,,66.0 %RH,,02/19/24 19:37:43
249,29.3 C,,66.6 %RH,,02/19/24 20:37:43
250,29.6 C,,65.7 %RH,,02/19/24 21:37:43
251,29.2 C,,66.6 %RH,,02/19/24 22:37:43
252,29.1 C,,66.4 %RH,,02/19/24 23:37:43
253,29.0 C,,67.1 %RH,,02/20/24 00:37:43
254,28.9 C,,67.5 %RH,,02/20/24 01:37:43
255,28.9 C,,67.2 %RH,,02/20/24 02:37:43
256,28.6 C,,67.2 %RH,,02/20/24 03:37:43
257,28.5 C,,66.9 %RH,,02/20/24 04:37:43
258,28.3 C,,67.0 %RH,,02/20/24 05:37:43
259,28.1 C,,67.3 %RH,,02/20/24 06:37:43
260,28.0 C,,67.0 %RH,,02/20/24 07:37:43
261,27.4 C,,69.7 %RH,,02/20/24 08:37:43
262,27.7 C,,71.9 %RH,,02/20/24 09:37:43
263,28.0 C,,70.4 %RH,,02/20/24 10:37:43
264,28.4 C,,65.8 %RH,,02/20/24 11:37:43
265,29.0 C,,64.4 %RH,,02/20/24 12:37:43
266,29.3 C,,62.3 %RH,,02/20/24 13:37:43
267,29.7 C,,61.5 %RH,,02/20/24 14:37:43
268,29.7 C,,60.6 %RH,,02/20/24 15:37:43
269,30.0 C,,59.8 %RH,,02/20/24 16:37:43
270,29.9 C,,62.0 %RH,,02/20/24 17:37:43
271,29.4 C,,65.8 %RH,,02/20/24 18:37:43
272,29.2 C,,66.8 %RH,,02/20/24 19:37:43
273,29.0 C,,67.5 %RH,,02/20/24 20:37:43
274,29.2 C,,68.2 %RH,,02/20/24 21:37:43
275,29.3 C,,66.7 %RH,,02/20/24 22:37:43
276,29.3 C,,67.3 %RH,,02/20/24 23:37:43
277,29.1 C,,68.2 %RH,,02/21/24 00:37:43
278,28.5 C,,65.2 %RH,,02/21/24 01:37:43
279,28.1 C,,67.0 %RH,,02/21/24 02:37:43
280,28.1 C,,65.3 %RH,,02/21/24 03:37:43
281,27.9 C,,65.2 %RH,,02/21/24 04:37:43
282,27.7 C,,67.3 %RH,,02/21/24 05:37:43
283,27.5 C,,68.5 %RH,,02/21/24 06:37:43
284,27.4 C,,70.3 %RH,,02/21/24 07:37:43
285,26.7 C,,72.4 %RH,,02/21/24 08:37:43
286,26.9 C,,71.0 %RH,,02/21/24 09:37:43
287,27.2 C,,66.8 %RH,,02/21/24 10:37:43
288,27.3 C,,65.7 %RH,,02/21/24 11:37:43
289,27.6 C,,63.6 %RH,,02/21/24 12:37:43
290,27.9 C,,63.4 %RH,,02/21/24 13:37:43
291,28.3 C,,60.5 %RH,,02/21/24 14:37:43
292,28.4 C,,59.3 %RH,,02/21/24 15:37:43
293,28.1 C,,59.8 %RH,,02/21/24 16:37:43
294,28.0 C,,60.1 %RH,,02/21/24 17:37:43
295,27.4 C,,60.5 %RH,,02/21/24 18:37:43
296,27.0 C,,62.3 %RH,,02/21/24 19:37:43
297,26.9 C,,61.9 %RH,,02/21/24 20:37:43
298,27.0 C,,64.2 %RH,,02/21/24 21:37:43
299,27.4 C,,64.8 %RH,,02/21/24 22:37:43
300,27.2 C,,64.5 %RH,,02/21/24 23:37:43
301,27.1 C,,65.6 %RH,,02/22/24 00:37:43
302,27.0 C,,64.6 %RH,,02/22/24 01:37:43
303,26.7 C,,64.2 %RH,,02/22/24 02:37:43
304,26.5 C,,61.6 %RH,,02/22/24 03:37:43
305,26.3 C,,59.9 %RH,,02/22/24 04:37:43
306,26.1 C,,56.6 %RH,,02/22/24 05:37:43
307,25.7 C,,54.9 %RH,,02/22/24 06:37:43
308,25.7 C,,57.2 %RH,,02/22/24 07:37:43
309,25.6 C,,54.7 %RH,,02/22/24 08:37:43
310,25.2 C,,52.4 %RH,,02/22/24 09:37:43
311,25.8 C,,50.6 %RH,,02/22/24 10:37:43
312,26.7 C,,50.1 %RH,,02/22/24 11:37:43
313,27.3 C,,49.5 %RH,,02/22/24 12:37:43
314,27.7 C,,46.2 %RH,,02/22/24 13:37:43
315,28.1 C,,44.6 %RH,,02/22/24 14:37:43
316,28.4 C,,47.1 %RH,,02/22/24 15:37:43
317,28.3 C,,48.8 %RH,,02/22/24 16:37:43
318,28.2 C,,48.3 %RH,,02/22/24 17:37:43
319,27.3 C,,47.3 %RH,,02/22/24 18:37:43
320,26.7 C,,48.9 %RH,,02/22/24 19:37:43
321,27.2 C,,48.7 %RH,,02/22/24 20:37:43
322,27.2 C,,49.3 %RH,,02/22/24 21:37:43
323,27.3 C,,48.9 %RH,,02/22/24 22:37:43
